# /net/astrogate/export/astrodata/EAGLE_snapshots/RefL0012N0188/snapshot_012_z003p017/snap_012_z003p017.0.hdf5
"persistence_ratio","persistence_nsigmas","persistence","persistence_pair","parent_index","parent_log_index","log_field_value","field_value","cell","critical_index","coords:0","coords:1","coords:2"
30.913,3.2721,0.51332,8,3,4,-0.27533,0.53048,52,3,24.749,5.2517,14.9
13.083,2.6318,0.63775,6,4,4,-0.16082,0.69053,143,3,11.748,6.9668,3.594
11.631,2.5372,0.22901,11,1,1,-0.60109,0.25056,324,3,4.4449,13.339,10.313
28.635,3.2184,0.85424,13,4,4,-0.052984,0.88515,330,3,4.7826,24.048,9.7164
-1,-1,1.7977e+308,4,-1,-1,0.047605,1.1158,433,3,5.3834,0.042854,8.9443
6.7074,2.0693,0.38724,9,0,0,-0.34191,0.45509,444,3,15.49,0.75256,19.011
13.083,2.6318,0.63775,1,-1,-1,-1.2775,0.05278,275.1,2,11.87,6.4634,3.2834
2.3152,2.1162,0.016424,16,-1,-1,-1.5389,0.028912,817.1,2,11.454,4.3406,10.62
-1,-1,-1,-1,-1,-1,-1.0339,0.092482,2714.1,4,8.7938,3.7611,13.611
-1,-1,-1,-1,-1,-1,-0.8835,0.092482,2964.1,4,7.1687,3.1044,11.374
-1,-1,-1,-1,-1,-1,-0.44283,0.030911,1283.1,4,12.418,7.0208,4.3667
30.913,3.2721,0.51332,0,-1,-1,-1.7655,0.01716,1071.1,2,20.066,16.671,19.436
-1,-1,-1,-1,-1,-1,-1.1211,0.075661,1911.1,4,15.005,24.095,18.303
-1,-1,-1,-1,-1,-1,-1.2261,0.059415,795.1,4,12.785,20.454,12.005
-1,-1,-1,-1,-1,-1,-1.1171,0.095401,1826.1,4,8.2031,22.994,10.389
-1,-1,-1,-1,-1,-1,-0.42377,0.29872,2908.1,4,16.035,1.0362,18.991
6.7074,2.0693,0.38724,5,-1,-1,-1.1685,0.067848,1223.1,2,20.059,4.5174,17.695
5.8628,5.0307,0.029498,14,-1,-1,-1.449,0.035564,1384.1,2,10.88,16.272,5.1067
-1,-1,-1,-1,-1,-1,-1.4478,0.035662,950.1,4,10.929,16.776,3.7816
-1,-1,-1,-1,-1,-1,-1.3458,0.052259,2814.1,4,15.323,12.956,9.5665
-1,-1,-1,-1,-1,-1,-1.4208,0.037947,1184.1,4,16.155,16.577,12.347
11.631,2.5372,0.22901,2,-1,-1,-1.6667,0.021542,1972.1,2,9.0572,10.659,8.1113
2.6098,2.473,0.0096756,15,-1,-1,-1.8045,0.015686,2719.1,2,11.278,1.7474,15.211
28.635,3.2184,0.85424,3,-1,-1,-1.5099,0.030911,2828.1,2,13.178,8.7065,6.7003
5.8628,5.0307,0.029498,10,-1,-1,-2.2171,0.006066,1859.2,1,13.351,17.781,9.9591
2.6098,2.473,0.0096756,12,-1,-1,-2.2211,0.0060104,2848.2,1,18.602,10.82,20.95
2.3152,2.1162,0.016424,7,-1,-1,-1.9035,0.012488,4359.2,1,11.632,3.9626,9.7147
3.6097,4.0829,0.14964,43,-1,-1,-0.68407,0.20698,0,2,6.9854,24.072,8.277
5.3927,4.8845,0.036349,44,-1,-1,-1.3504,0.044624,49,2,11.193,18.11,3.0671
4.7191,4.6421,0.038308,38,-1,-1,-1.3133,0.048609,94,2,2.516,12.966,10.294
3.5897,4.0676,0.054241,32,-1,-1,-1.1239,0.075186,112,2,0.27691,21.997,17.162
-1,-1,-1,-1,-1,-1,-1.4103,0.038882,145.1,4,1.4455,22.088,16.425
19.633,6.818,0.25597,45,-1,-1,-0.56911,0.26971,287,2,14.996,24.609,18.782
